position,filename,passage,has_synopsis,synopsis_sentence
184,44964.txt,"All at once the terrible cannonading ceased, and the stillness of
death prevailed. General Pickett rode along the line informing his men
that the artillery had not succeeded in driving the enemy from their
strong position. Word was passed down the line from the right that
they were to charge. All were on their feet in a moment and ready; not
a sound was heard; not a shot was fired from any part of the field.
The command, ""Forward!"" was given, and in five minutes they had passed
through the strip of woods that lay between them and the artillery, and
as they emerged from the cover and passed through the artillery line
the artillerymen raised their hats and cheered them on their way. They
also passed through Lane's brigade of Wilcox's division, whose men were
waiting for orders to support the charge. General Garnett was leading
the center, General Kemper on the right, and General Armistead was
leading the left of the division with a swarm of skirmishers in front.
The smoke had cleared away and revealed the long line of the Federal
position on Cemetery Heights, which was about a mile distant.",,
154,63930.txt,"""Fortunately, there wasn't room in our ship for a library, or they
might have encountered the Terrestrial mind and caught on. But they
learned our language--English, and a damned neat trick--from Randolph's
written translations of the Martian _inscriptiones sensuales_ he was
working on. And when they came here and addressed us in that language
and we responded, nolens-volens they took us for Martians and judged
us by the context of those translations--foolish, vain and harmless,
but perhaps with some value as workers. They even took our names from
the nameplates on our bunks, something that would have found favor with
the perverse Fourth-Era Martians they presumed us to be."" He sucked at
his pipe which had gone out. ""Their Psychologists are clever--maybe a
little too clever. They think we have no violence potential.""",,
253,1936.txt,"The next morning we breakfasted with Mr. Rogers.  He lives, as you
probably know, in [a] beautiful house, though small, whose rooms look
upon the Green Park, and filled with pictures and marbles.  We stayed an
hour or more after the other guests, listening to his stores of literary
anecdote and pleasant talk.  In the evening we went to the Miss Berrys’,
where we found Lord Morpeth, who is much attached to them.  Miss Berry
put her hand on his head, which is getting a little gray, and said: “Ah,
George, and I remember the day you were born, your grandmother brought
you and put you in my arms.”  Now this grandmother of Lord Morpeth’s was
the celebrated Duchess of Devonshire, who electioneered for Fox, and he
led her to tell me all about her.  “Eothen” was also there, Lady Lewis
and many of my friends. . . . Aunty wishes to know who is “Eothen.”  She
has probably read his book, “Eothen, or Traces of Travel,” which was very
popular two or three years since.  He is a young lawyer, Mr. Kinglake,
the most modest, unassuming person in his manners, very shy and
altogether very unlike the dashing, spirited young Englishman I figured
to myself, whom nothing could daunt from the Arab even to the plague,
which he defied.",,
93,24321.txt,"""I know but little about it, as I was not admitted into
    their presence, for fear, I suppose, of their being
    known.... I recollect perfectly well that in the afternoon
    preceding the evening of the destruction of the tea, a
    number of gentlemen met in the parlor of my father's
    house,--how many I cannot say. As I said before, I was not
    admitted into their presence; my station was in another
    room, to make punch for them, in the bowl[20] which is now
    in your possession, and which I filled several times. They
    remained in the house till dark,--I suppose to disguise
    themselves like Indians,--when they left the house, and
    proceeded to the wharves where the vessels lay. Before they
    reached there they were joined by hundreds. I thought I
    would take a walk to the wharves as a spectator, where was
    collected, I may say, as many as two thousand persons. The
    Indians worked smartly. Some were in the hold immediately
    after the hatches were broken open, fixing the ropes to the
    tea-chests, others were breaking open the chests, and others
    stood ready with hatchets to cut off the bindings of the
    chests and cast them overboard. I remained till I was tired,
    and fearing some disturbance might occur, went home, leaving
    the Indians working like good, industrious fellows. This is
    all I know about it.""",,
75,45859.txt,"Nor are they satisfied with the mere statement; they are also very
circumstantial in their account of his connexion with it, though
both are declared to be quite apocryphal. They say he was so pleased
with this work of his genius that he had it produced entirely under
his own eye. He watched while the foundations were laid, while the
materials were collected round the spot, while every stone was laid
in its place; in fact, he was never tired of looking at it: now he
would take a long walk into the country to enjoy its appearance in
the distant view; now he would stand in the plaza beneath, and gaze
up at the storied decorations with which his fancy had invested it;
now he would mount the interior staircase of the tower, and look down
from the monument he had raised, upon the insignificant dwellings
with which it was surrounded.",,
99,24321.txt,"Son of Samuel, and father of Deacon Moses Grant, was born in Boston,
March 13, 1743; died December 22, 1817. He was an upholsterer, on Union
Street, and his son, Moses, was a partner with him until his death. He
was an ardent patriot; was one of the volunteer guard on the
""Dartmouth,"" on the night of November 29, 1773; was one of those who
seized and carried off the cannon from the gun-house, on West Street,
and one of the renowned ""tea party."" Member of the company of cadets,
and a deacon of Brattle Street church.",,
131,40293.txt,"The Revolution of 1830 was not only political, it was also artistic, and
the artistic results were really the more permanent. This artistic
revolution is generally known as the Romantic movement, about which so
much has been written that I need not refer to it at length. Just as the
Liberal spirit smouldered for many years against the Royalist
oppression, so the Romantic spirit smouldered against the restraints of
the dead classic tradition of the eighteenth century. The process of
combustion, beginning as it did with Rousseau, was a slow one, and, as
it has been said, Romanticism only potentially existed, as a movement,
before 1820. In that year Victor Hugo founded his journal, the
_Conservateur Littéraire_, gathering round him a brilliant company of
writers. For ten years the movement grew in intensity, fostered by the
institution of _cénacles_ and the only too successful proselytism of
Victor Hugo, who disdained no recruit whom he could by flattery enlist.
It is not too much to say that the youth of all France was fired by the
revolt against classicism in poetry and drama. Every schoolboy wrote
verses and every ardent soul longed to enter the very arena in Paris,
where the _perruques_ of the Institute were so signally defied. Paris
became doubly desirable as the field on which political and artistic
liberty were being won. The triumph came in 1830 with the performance of
""Hernani."" That victory of the Romantic army is now a commonplace, but
in 1830 it was magnificently new, and it was, moreover, the public
manifestation of _la Bohème_. The effect of this double excitement was
overwhelming. It literally tore the more intelligent among the young men
of France from the roots of all their attachments and interests. To
establish liberty, to revolutionize literature, these were their dreams,
in comparison with which all ordinary professional prospects seemed
dreary and unworthy. So the year 1830 saw Paris harbouring in her
garrets a host of enthusiasts, most of them very young, burning with
ideals and flushed with apparently glorious victories. They felt
themselves incorporated in one great brotherhood of defiance to
established authority, so that those who mocked their poverty and
lawlessness in the name ""Bohemian"" were unconsciously justified, for a
corporate name is the sign of a corporate existence. _La Bohème_ in 1830
was not a haphazard collection of _dilettanti_ and artistic eccentrics;
it was a fellowship inspired by similar enthusiasms and bound together
by the struggle against similar misfortunes.",,
66,70203.txt,"We are all by this time familiar with the stages of criticism through
which his works have passed—undue length and want of conciseness, fresh
episodes instead of organic development, the continual use of national
idioms, and the like. To these must be opposed the splendid qualities
of melody, form, and colour which are found in his best works, such
as _The Stabat Mater_, _The Spectre’s Bride_, the D minor
Symphony, and the A major Piano Quintett, and no just assessment can
refuse for Dvořák a most exalted place amongst contemporary musicians.",,
252,1936.txt,"Last evening I went to my first great English dinner and it was a most
agreeable one. . . .  It seems a little odd to a republican woman to find
herself in right of her country taking precedence of marchionesses, but
one soon gets used to all things.  We sat down to dinner at eight and got
through about ten.  When the ladies rose, I found I was expected to go
first.  After dinner other guests were invited and to the first person
who came in, about half-past ten, Lady Palmerston said: “Oh, thank you
for coming so early.”  This was Lady Tankerville of the old French family
of de Grammont and niece to Prince Polignac.  The next was Lady Emily de
Burgh, the daughter of the Marchioness of Clanricarde, a beautiful girl
of seventeen.  She is very lovely, wears a Grecian braid round her head
like a coronet, and always sits by her mother, which would not suit our
young girls.  Then came Lord and Lady Ashley, Lord Ebrington, and so many
titled personages that I cannot remember half.",,
67,70203.txt,"The personal note is added by Mr. Hadow[31] when he recites the story
of Brahms taking up his residence in Vienna, the city of high musical
activity, in 1862. “As yet his compositions were little known, but
there was no musician in Vienna who had not heard his name or felt some
expectation at his arrival. Before long, introduction had ripened into
acquaintance, and acquaintance into a many-sided friendship. Men were
glad to welcome a new genius of conspicuous power and encyclopædic
knowledge, who never spoke of himself, who never wrote a line in his
own defence, who never attacked an opponent, or depreciated a rival.
Add to this the quiet voice, the undemonstrative manner, the kindly
disposition that expended itself in a thousand services, the upright
honesty that would never stoop even to conquer, and it is not hard
to explain a personal popularity which has lasted unimpaired to the
present day. The artist is too often to be described in Mr. Stevenson’s
phrase, as ‘a man who sows hurry and reaps indigestion.’... It is
not a little refreshing to contemplate a genius who, with all the
astonishing amount that he accomplished, yet found time to enjoy his
dinner, to bear his part in the company of his friends, and to become
the sworn ally of all the children in the neighbourhood.”",,
191,59466.txt,"The Environs of London, though they contain many of the most remarkable
seats and places in the kingdom, have never before been included in any
account of that metropolis; and we are persuaded, that the most
intelligent enquirer will here find numberless curiosities, not hitherto
taken notice of by any other writers: besides, we have not only been
particular in our descriptions of whatever is remarkable twenty miles
round; but to assist his observation, we have added a map, which we
flatter ourselves will be found to have some advantages over any other
that has yet appeared. This map, and these descriptions, will serve both
as a guide and an instructor to the travelling Virtuosi, whether natives
or foreigners, in their little excursions to any part of these
delightfully adorned and richly cultivated environs.",,
28,72729.txt,"In the course of the last fifty years, a profound though almost unseen
change has gradually passed over the face of the old University.
The introduction of representative government into the academical
constitution has not only cleared away many abuses, but has at once
popularised and centralised University administration. The recognition
of Unattached Students has broken down the monopoly of colleges; the
abolition of close fellowships has infused new blood and new ideas
into the more backward collegiate bodies; the spontaneous development
of numerous clubs and associations—athletic, literary, or political—has
created many new ties among undergraduates, and weakened the old
exclusive spirit of college partisanship. The ‘Combined Lecture
System,’ under which the inmates of one college may receive instruction
in another, has also favoured a division of labour among tutors which
is directly conducive to specialism in teaching. The great extension
of the professoriate, including the new order of University Readers,
and still more the liberal encouragement of new studies, has infinitely
expanded the intellectual interests both of teachers and of students;
the admission of Nonconformists and the progress of free thought have
powerfully modified theological bigotry; the multiplication of feminine
influences has undermined the ideal of semi-monastic seclusion, and
greatly increased the innocent æsthetic distractions which are the
most formidable rivals of the austerer Muses. The gulf between Oxford
society and the great world outside, never very impassable, has been
effectually bridged over in every direction. A very large proportion
of professors and college tutors have travelled widely; many are well
known in London as contributors to scientific and literary periodicals
or otherwise; while Oxford itself is constantly thronged with visitors
from the metropolis. In ceasing to be clerical and aristocratic, the
University has become far more cosmopolitan; all religions are there
mingled harmoniously, nor is it uncommon to meet in the streets young
men of Oriental race and complexion wearing academical costume.",,
33,10554.txt,"The scales fell from my eyes. I understood. I had had the same sort
of thing happen to me in moments of crisis. I remember once detaining
a dentist with the drill at one of my lower bicuspids and holding him
up for nearly ten minutes with a story about a Scotchman, an Irishman,
and a Jew. Purely automatic. The more he tried to jab, the more I said
“Hoots, mon,” “Begorrah,” and “Oy, oy”. When one loses one’s nerve, one
simply babbles.",,
23,72729.txt,"In 1365 the Pope entered the lists against the University on behalf
of the friars, and directed the Archbishop of Canterbury and bishops
to insist upon the Chancellor’s procuring the repeal of the obnoxious
statutes. In the meantime, however, the intervention of the King and
Parliament was invoked by memorials from both the Universities and
the four mendicant Orders. In consequence of this an ordinance was
made, with the assent of Parliament, by which the statutes against the
admission of scholars into these Orders were relaxed, but all bulls and
processes to be procured by the friars against the Universities from
the Court of Rome were prohibited and declared void. Still the feud
continued. One main source of Wyclif’s popularity in the University was
his unsparing denunciation of the Mendicants, and their decline was
among the most permanent results of the movement which he initiated.
But other causes were at work to undermine their influence. The rise
of the colleges was, in fact, the rise of the secular clergy, and in
organising itself more completely, the University naturally outgrew
its dependence on the missionary zeal for education which had been its
life-blood in the thirteenth century.",,
259,1936.txt,". . . On Tuesday Mr. Hallam took us to the British Museum, and being a
director, he could enter on a private day, when we were not annoyed by a
crowd, and, moreover, we had the advantage of the best interpreters and
guides.  We did not even enter the library, which requires a day by
itself, but confined ourselves to the Antiquity rooms. . . . As I entered
the room devoted to the Elgin marbles, the works of the “divine Phidias,”
I stepped with awe, as if entering a temple, and the Secretary, who was
by my side, observing it, told me that the Grand Duke Constantine, when
he came a few days before, made, as he entered, a most profound and
reverential bow.  This was one of my most delightful mornings, and I left
the Antiquities with a stronger desire to see them again than before I
had seen them at all.",,
201,9850.txt,"Of all the energies of man, that which I will anticipate my argument by
calling the poetic energy, the energy that created Herrick's song and the
distinguishing qualities of that passage from Milton, is the rarest and the
most highly, if not the most generally, honoured; we have only to think of
the handful of men who at any time out of all the millions can bring this
perfect expression to a mood of the highest imaginative intensity, to know
that the honour is justly bestowed. So splendid a thing is success in
this matter that failure, if it is matched with a will for sincerity and
intelligence of purpose, will often bring a man some durable fame. But the
energies of man are manifold, and while we rightly set the poetic energy
above the rest, there are others which are only less rare, and in their
most notable manifestations yielding to it alone in worthiness of homage
which will, indeed, often be more generally paid. Such an energy is the
profound intellectual control of material, as distinct from profound
emotional sensitiveness to material; the capacity for ordering great masses
of detail into a whole of finely balanced and duly related proportions.
Cæsar and Napoleon had it, marshalling great armies to perfectly conceived
designs; Fielding had it, using it to draw a multitude of character and
event into the superbly shaped lines of his story; the greatest political
leaders have had it; Cromwell had it, organising an enthusiasm; Elizabeth,
organising a national adventure.[1] Again, there is the energy
of morality, ardently desiring justice and right fellowship, sublimely
lived by men who have made goodness great, like Lincoln, sublimely spoken
by men who made sermons passionate, like Ruskin and Carlyle. To take one
other instance, there is the highly specialised energy that delights in the
objective perception of differentiations of character, the chief energy of
the deftest wits such as Samuel Johnson and the best comic dramatists.",,
227,13252.txt,"As to the Music,--well, I am not a musician, and in any new Opera when
there is no one tuneful phrase as in _Aïda_ or _Tannhäuser_, which, at
the very first hearing, anyone with half an ear can straightway catch,
and reproduce next day till everyone about him cries, ""Oh don't!"" and
when, as in this instance, the conducting-composer, Wagnerianly, will
not permit _encores_--where am I? Nowhere. I return home in common
time, but tuneless. On the other hand, besides being certain that
_Friar Tuck's_ jovial song will ""catch on,"" I must record the complete
satisfaction with which I heard the substantial whack on the drum so
descriptive of _Sir Brian de Bois-Guilbert-sans-Sullivan's_ heavy fall
""at the ropes."" This last effect, being as novel as it is effective,
attracted the attention of the wily and observant DRURIOLANUS, who
mentally booked the effect as something startlingly new and original
for his next Pantomime. The combat between the Saxon Slogger, very
much out of training, and the Norman Nobbler, rather over-trained
as the result proved, is decidedly exciting, and the Nobbler would
be backed at long odds. Altogether, the whole show was thoroughly
appreciated by WAMBA JUNIOR.",,
69,70203.txt,"In the important form of the String Quartett Brahms has left only three
works, viz.: two (in C minor and A minor), op. 51, and one (in B♭),
op. 67. The number is few as compared with the other great masters,
and especially of course with Haydn, but the quality of each work is
remarkable. In England, at any rate, these quartetts have met with a
cautious and critical reception. The reason for this is, no doubt,
that for their true appreciation they require study and many hearings,
conditions which unfortunately are not common amongst us. Amateurs,
however, who play them, and know them intimately, will hardly share
in these adverse opinions. Some of the movements have been spoken of
as lacking in inspiration, an opinion which, if one accepts Brahms at
all, seems strange, for in none of his works does his peculiar genius
shine more clearly through the medium in which he works than in these.
One may reject Brahms altogether, falling foul of his idioms and
methods, as some do, but it is hard to understand how compositions so
characteristic as these can be rejected by any who rank themselves as
students or disciples of this master. The slow movements of all these
string quartetts may be referred to as showing with what true melodic
charm Brahms can invest his music, and this is all the more notable if
one considers the unusual manner in which the beautiful tunes are often
presented. For example, the romance of No. 1 in C minor:—",,
105,16972.txt,"The mother sun-fish, having now built or provided her ""hatchery,""
deposits her spawn within the circular inclosure, and mounts guard at
the entrance until the fry are hatched out and are sufficiently large
to take charge of themselves. As the embankment, moreover, is built up
to the surface of the water, no enemy can very easily obtain an
entrance within the inclosure from the top; while there being only one
entrance, the fish is able, with comparative ease, to keep out all
intruders.",,
53,75590.txt,"After this meeting we took our leave of Friends, parting in great
tenderness, in the sense of the heavenly life and virtuous power of
the Lord, that was livingly felt amongst us; and went by water to
the place where we were to take shipping, many Friends accompanying
us thither and tarrying with us that night. Next day, the 21st of
the 3rd month, 1673, we set sail for England; the same day Richard
Covell came on board our ship, having had his own taken from him by
the Dutch. We had foul weather and contrary winds, which caused us
to cast anchor often, so that we were till the 31st ere we could get
past the capes of Virginia and come out into the main sea. But after
this we made good speed, and on the 28th of the 4th month cast
anchor at King’s Road, which is the harbour for BRISTOL. We had on
our passage very high winds and tempestuous weather, which made the
sea exceedingly rough, the waves rising like mountains; so that the
masters and sailors wondered at it, and said they never saw the like
before. But though the wind was strong, it set for the most part
with us, so that we sailed before it; and the great God who commands
the winds, who is Lord of heaven, of earth, and the seas, and whose
wonders are seen in the deep, steered our course and preserved us
from many imminent dangers. The same good hand of Providence that
went with us, and carried us safely over, watched over us in our
return, and brought us safely back again; thanksgiving and praises
be to his holy name for ever! Many sweet and precious meetings we
had on board the ship during this voyage (commonly two a week,)
wherein the blessed presence of the Lord did greatly refresh us, and
often break in upon and tender the company.",,
62,70203.txt,"Of Trios for violin, viola, and ’cello may be named op. 69 in G minor,
by W. Berger (1861). This is the work of a living musician who resides
in Berlin. Berger, who has published a considerable number of important
works, writes in an earnest and musicianly manner, and although this
trio may be somewhat lacking in melodic interest, it should at any rate
prove useful to those who seek for music written for this combination
of instruments, a form which is of course much rarer than the Quartett.",,
165,29554.txt,"He must endeavor to picture vividly to himself the mental condition
which gave rise to special arts and institutions, or which these evolved
in the people. He must ascertain whether they increased or diminished
the joy of living, or stimulated the thirst for knowledge and the love
of the true and the beautiful. He must cultivate the liveliness of
imagination which will enable him to transport himself into the epoch
and surroundings he is studying, and feel on himself, as it were, their
peculiar influences. More than all, chief of all, he must have a broad,
many-sided, tender sympathy with all things human, enabling him to
appreciate the emotions and arguments of all parties and all peoples.",,
