item_no	HTid	recordid	OCLC	LOCnum	author	imprint	datetype	startdate	enddate	textdate	place	enumcron	materialtype	subjects	genres	title	enum_start_date	enum_end_date	inferred_date	category
22	mdp.39015068593550	1589325	11822943	<blank>	Cirkel, Fritz,	Ottawa, Canada;1905.	s	1905	    	1905	onc	<blank>	monograph	Mica	UnknownGenre	Mica, its occurrence			1905	Mineralogy
23	mdp.39015065384532	1476042	1946390	QB54.M52	Maunder, E. Walter	London and New York;Harper & brothers;1913.	s	1913	    	1913	enk	<blank>	monograph	Plurality of worlds	NotFiction	Are the planets inhabited!			1913	Astronomy
24	mdp.39015012426592	58076	17486510	<blank>	<blank>	London.	d	1911	1912	"<unparsed=""London"">"	enk	v.1	serial	Women;Periodicals	UnknownGenre	The Freewoman			1911	Periodicals; Feminism
25	mdp.39015073205703	59259	1782410	TP700.I32	<blank>	London	d	1908	1969	1912	enk	v.5 1912	serial	Lighting;Periodicals	UnknownGenre	Light and lighting	1912.0		1912	Periodicals; Lighting
26	mdp.35112104484250	10465369	34705244	KF801.W35 1913x	Wait, John Cassan,	New York;J. Wiley & sons; [etc., etc.;1913	s	1913	    	1913	nyu	<blank>	monograph	Contracts;United States;Engineering contracts	NotFiction	The law of contracts			1913	Law
27	wu.89080443443	5736148	3829521	TA405.M87	Morley, Arthur,	London;New York [etc.;Longmans, Green, and co.;1908.	s	1908	    	1908	enk	<blank>	monograph	Strength of materials	NotFiction	Strength of materials			1908	Engineering
28	mdp.39015058440150	1998113	3625032	<blank>	Kraght, Peter E.	New York;Cornell maritime press;1913.	s	1913	    	1913	nyu	<blank>	monograph	Meteorology;Marine meteorology;Meteorology in aeronautics	UnknownGenre	Meteorology for ship and aircraft operation			1913	Weather
29	mdp.39015082368757	2001446	9526499	<blank>	Lucas, A. H. S.	Melbourne [etc.;Whitcombe and Tombs, limited;1909.	s	1909	    	1909	at 	<blank>	monograph	Zoology;Australia	UnknownGenre	The animals of Australia;			1909	Zoology
30	wu.89062999800	641021	1715282	AP2.T88	<blank>	Boston;Twentieth century company;1910-1913.	d	1910	1913	1910-1913	mau	v.4 1911	serial	Twentieth century;Periodicals	UnknownGenre	The Twentieth century magazine	1911.0		1911	Periodicals; 
31	mdp.39015059431950	500853	1654047	HM1.S7	<blank>	Keele, Eng. [etc.;1908-	c	1908	9999	1908	enk	v.1 1908	serial	Sociology;Periodicals	UnknownGenre	The Sociological review	1908.0		1908	Sociology
