barcode_src,title_src,author_src,date1_src,date2_src,include_yn,reason,firstpub,pubplace,authgender,authnationality,authordates,author_profession,page_count_src,token_count_o200k_base_gen,language_src,topic_or_subject_gen,topic_or_subject_score_gen,genre_or_form_src,general_note_src,ocr_score_src,ocr_score_gen,likely_duplicates_barcodes_gen,identifiers_src,hathitrust_data_ext,is_english_1831_1930
32044004358602,"Biographical sketches and interesting anecdotes of persons of color. To which is added, a selection of pieces in poetry.","Mott, Abigail",1837,,y,"abolitionist biographies, contrast to Alison Carmichael",1837.0,New York,f,US,1795-1846,Quaker abolitionist,268.0,116990.0,eng,AUXILIARY SCIENCES OF HISTORY,0.9979032278,Biography,"Contents, pp. [257]-260 misbound between pages [ii] and [iii].",95.0,99.0,,"{'lccn': array([], dtype=object), 'isbn': array([], dtype=object), 'ocolc': array(['(OCoLC)02915507', '(OCoLC)15680167'], dtype=object)}","{'url': 'https://hdl.handle.net/2027/hvd.32044004358602', 'rights_code': 'pd', 'reason_code': 'bib', 'last_check': '2025-05-12'}",TRUE
32044103077657,Journal of the Statistical Society of London.,Statistical Society (Great Britain),1838,1872.0,y,economics,1860.0,,,UK,,,618.0,436573.0,eng,SOCIAL SCIENCES,0.9990984201,"Electronic journals, Computer network resources",,94.0,98.0,,"{'lccn': array(['sf 82006905'], dtype=object), 'isbn': array([], dtype=object), 'ocolc': array(['(OCoLC)09089147'], dtype=object)}","{'url': 'https://hdl.handle.net/2027/hvd.32044103077657', 'rights_code': 'pd', 'reason_code': 'bib', 'last_check': '2025-05-12'}",TRUE
HNEA1C,"Incidents of travel in Egypt, Arabia Petraea, and the Holy Land","Stephens, John L.",1838,,y,early travel,1836.0,New York,m,US,1805-1852,explorer,272.0,109385.0,eng,SCIENCE,0.9046533704,,,89.0,99.0,,"{'lccn': array([], dtype=object), 'isbn': array([], dtype=object), 'ocolc': array(['(OCoLC)31336155'], dtype=object)}","{'url': 'https://hdl.handle.net/2027/hvd.hnea1c', 'rights_code': 'pd', 'reason_code': 'bib', 'last_check': '2025-05-12'}",TRUE
32044024304883,"Intermarriage, or, The mode in which, and the causes why, beauty, health, and intellect, result from certain unions, and deformity, disease, and insanity, from others ...","Walker, Alexander",1839,,y,early eugenics,1839.0,New York,m,Scottish,1779-1852,physiologist,438.0,146698.0,eng,PHILOSOPHY. PSYCHOLOGY. RELIGION,0.4960287511,,,92.0,98.0,,"{'lccn': array(['08027972 //r20'], dtype=object), 'isbn': array([], dtype=object), 'ocolc': array(['(OCoLC)05915146', '(OCoLC)24639730'], dtype=object)}","{'url': 'https://hdl.handle.net/2027/hvd.32044024304883', 'rights_code': 'pd', 'reason_code': 'bib', 'last_check': '2025-05-12'}",TRUE
32044103088191,Medical times.,,1839,1851.0,y,medicine,1845.0,,,UK,,,746.0,2233566.0,eng,MEDICINE,0.9989190102,,"""A journal of English and foreign medicine and miscellany of medical affairs."", Title from caption., Imprint varies., Description based on: Vol. 12, no. 289 (Apr. 5, 1845).",96.0,99.0,,"{'lccn': array([], dtype=object), 'isbn': array([], dtype=object), 'ocolc': array(['(OCoLC)01778924'], dtype=object)}","{'url': 'https://hdl.handle.net/2027/hvd.32044103088191', 'rights_code': 'pd', 'reason_code': 'bib', 'last_check': '2025-05-12'}",TRUE
32044011468659,"Fluctuations of currency, commerce, and manufactures : referable to the corn laws","Wilson, James",1840,,y,corn laws,1840.0,London,m,UK,,,168.0,55046.0,eng,LAW,0.6537230015,,,93.0,100.0,,"{'lccn': array([], dtype=object), 'isbn': array([], dtype=object), 'ocolc': array(['(OCoLC)12180755'], dtype=object)}","{'url': 'https://hdl.handle.net/2027/hvd.32044011468659', 'rights_code': 'pd', 'reason_code': 'bib', 'last_check': '2025-05-12'}",TRUE
32044018958868,"On the errors of chronometers, and chronometrical-thermometers; explanation of a new construction of the compensation balance; and a new chronometrical-thermometer of ...","Dent, Edward John",1843,,y,engineering / technology,1843.0,London,m,UK,,watchmaker,32.0,9327.0,eng,SCIENCE,0.8403885365,,,62.0,98.0,,"{'lccn': array([], dtype=object), 'isbn': array([], dtype=object), 'ocolc': array(['(OCoLC)80519353'], dtype=object)}","{'url': 'https://hdl.handle.net/2027/hvd.32044018958868', 'rights_code': 'pd', 'reason_code': 'bib', 'last_check': '2025-05-12'}",TRUE
32044021026273,"An Historical, statistical, and scientific account of the railways of Belgium from 1834 to 1842","Dobson, Edward",1843,,y,railroads matter,1843.0,London,m,UK,1816-1908,eningeer,142.0,43144.0,eng,AGRICULTURE,0.49265939,,Master microform held by: DLC.,86.0,97.0,,"{'lccn': array(['nuc87447827'], dtype=object), 'isbn': array([], dtype=object), 'ocolc': array(['(OCoLC)25933961'], dtype=object)}","{'url': 'https://hdl.handle.net/2027/hvd.32044021026273', 'rights_code': 'pd', 'reason_code': 'bib', 'last_check': '2025-05-12'}",TRUE
AH6K8I,The Ladies' repository.,,1843,1873.0,y,"Universalist periodical, edited by Mrs E A Bacon",1857,,f,,,,540.0,612418.0,eng,PHILOSOPHY. PSYCHOLOGY. RELIGION,0.6270816922,,,95.0,100.0,,"{'lccn': array([], dtype=object), 'isbn': array([], dtype=object), 'ocolc': array(['(OCoLC)07379249'], dtype=object)}","{'url': 'https://hdl.handle.net/2027/hvd.ah6k8i', 'rights_code': 'pd', 'reason_code': 'bib', 'last_check': '2025-05-12'}",TRUE
HNJ9I8,A dissertation on the varieties of mankind : being an address read before the Cuvierian and Physiological societies of Wesleyan University,"Bond, Thos. E.",1843,,y,pairs nicely with Thomas Smyth,1843.0,"Middletown, Conn",m,US,1813-1872,Christian editor,52.0,13228.0,eng,SCIENCE,0.9991280437,,,80.0,100.0,,"{'lccn': array(['34036282'], dtype=object), 'isbn': array([], dtype=object), 'ocolc': array(['(OCoLC)12574527'], dtype=object)}","{'url': 'https://hdl.handle.net/2027/hvd.hnj9i8', 'rights_code': 'pd', 'reason_code': 'bib', 'last_check': '2025-05-12'}",TRUE
32044009690504,The mothers of England : their influence and responsibility,"Ellis, Mrs (Sarah Stickney)",1844,,y,"about gender and conduct -- author is far from obscure, but worth having nevertheless",1844.0,,f,UK,1799-1872,author,636.0,566672.0,eng,EDUCATION,0.8867501616,,,93.0,100.0,,"{'lccn': array([], dtype=object), 'isbn': array([], dtype=object), 'ocolc': array(['(OCoLC)07628626'], dtype=object)}","{'url': 'https://hdl.handle.net/2027/hvd.32044009690504', 'rights_code': 'pd', 'reason_code': 'bib', 'last_check': '2025-05-12'}",TRUE
32044004472007,"Water-cure for ladies : a popular work on the health, diet, and regimen of females and children, and the prevention and cure of diseases : with a full account of the processes of water-cure, illustrated with various cases","Shew, Marie Louise.",1844,,y,text on health by a woman,1844.0,New York,f,US,1821-1877,,260.0,80673.0,eng,MEDICINE,0.9976072311,,Tailpiece.,93.0,99.0,,"{'lccn': array([], dtype=object), 'isbn': array([], dtype=object), 'ocolc': array(['(OCoLC)14549703'], dtype=object)}","{'url': 'https://hdl.handle.net/2027/hvd.32044004472007', 'rights_code': 'pd', 'reason_code': 'bib', 'last_check': '2025-05-12'}",TRUE
32044014249122,To the people of the United States.,"Whitney, Asa",1845,,y,railroad promotion -- contrast to Dobson,1845.0,US,m,US,,dry-goods merchant and railroad promoter,20.0,7851.0,eng,LAW,0.5002031922,,"Caption title., Dated, New York, 5th May, 1845., Whitney, Asa, National railroad, connecting the Atlantic and Pacific Oceans. Memorial: p. 7-11., U.S. Congress. House. Committee on Roads and Canals. Railroad to Oregon. Report. (20th Cong., 2d sess. House. Rep. 198): p. 11-12.",72.0,100.0,,"{'lccn': array([], dtype=object), 'isbn': array([], dtype=object), 'ocolc': array(['(OCoLC)23170678'], dtype=object)}","{'url': 'https://hdl.handle.net/2027/hvd.32044014249122', 'rights_code': 'pd', 'reason_code': 'bib', 'last_check': '2025-05-12'}",TRUE
32044080687452,"A cyclopaedia of practical receipts, and collateral information in the arts, manufacutres, and trades, including medicine, pharmacy, and domestic economy.","Cooley, Arnold James.",1845,,y,encyclopedia of chemistry and pharmacology,1845.0,London,,UK,,,,,,,,,,,,,,,
HNXBH1,The philosophy of mystery.,"Dendy, Walter Cooper",1845,,y,on dreams! in dialogue form,1841.0,London,m,UK,1794-1871,English surgeon and writer,464.0,195646.0,eng,PHILOSOPHY. PSYCHOLOGY. RELIGION,0.9994336963,,An English edition was published in 1841.,95.0,100.0,,"{'lccn': array(['11006861'], dtype=object), 'isbn': array([], dtype=object), 'ocolc': array(['(OCoLC)00648638'], dtype=object)}","{'url': 'https://hdl.handle.net/2027/hvd.hnxbh1', 'rights_code': 'pd', 'reason_code': 'bib', 'last_check': '2025-05-13'}",TRUE
32044004347126,Love and duty. A novel.,"Marsh-Caldwell, Anne",1845,,y,fiction,1845.0,Philadelphia,f,UK,1791-1874,,680.0,878128.0,eng,PHILOSOPHY. PSYCHOLOGY. RELIGION,0.9187067151,,,95.0,99.0,,"{'lccn': array([], dtype=object), 'isbn': array([], dtype=object), 'ocolc': array(['(OCoLC)37294095'], dtype=object)}","{'url': 'https://hdl.handle.net/2027/hvd.32044004347126', 'rights_code': 'pd', 'reason_code': 'bib', 'last_check': '2025-05-12'}",TRUE
32044019034701,Poems,"Story, William Wetmore",1847,,y,poetry,1847.0,Boston,m,US,,sculptor and poet,316.0,38650.0,eng,LANGUAGE AND LITERATURE,0.998803854,,,90.0,98.0,,"{'lccn': array([], dtype=object), 'isbn': array([], dtype=object), 'ocolc': array(['(OCoLC)11752636'], dtype=object)}","{'url': 'https://hdl.handle.net/2027/hvd.32044019034701', 'rights_code': 'pd', 'reason_code': 'bib', 'last_check': '2025-05-12'}",TRUE
32044074335506,The Daguerreotype.,,1847,1849.0,y,periodical -- not really about photography,1847.0,Boston,,"US, but compiled from European sources",,,588.0,720057.0,eng,GENERAL WORKS,0.9015953541,,"""A magazine of foreign literature and science; compiled chiefly from the periodical publications of England, France, and Germany."", Compiled chiefly from European periodicals, this eclectic magazine published choice articles from the best English reviews and magazines, and translations of selected articles from German and French publications. Its varied contents included stories and anecdotes, travel sketches, biography, literary and scientific news, and articles on history, geography, and on various countries and people. In addition, short reviews, listings of the more important new or forthcoming books, and some original articles appeared in its pages., Title from caption.",96.0,99.0,,"{'lccn': array(['sf 89090959'], dtype=object), 'isbn': array([], dtype=object), 'ocolc': array(['(OCoLC)08978197'], dtype=object)}","{'url': 'https://hdl.handle.net/2027/hvd.32044074335506', 'rights_code': 'pd', 'reason_code': 'bib', 'last_check': '2025-05-12'}",TRUE
32044082182031,"McCulloch's universal gazetteer : a dictionary, geographical, statistical, and historical, of the various countries, places, and principal natural objects in the world","McCulloch, J. R.",1847,,y,gazetteer,1847.0,New York,m,Scottish,1789-1864,economist,1176.0,3074378.0,eng,GEOGRAPHY. ANTHROPOLOGY. RECREATION,0.9990087748,Dictionaries,,95.0,98.0,['HW9GRZ'],"{'lccn': array([], dtype=object), 'isbn': array([], dtype=object), 'ocolc': array(['(OCoLC)18545901'], dtype=object)}","{'url': 'https://hdl.handle.net/2027/hvd.32044082182031', 'rights_code': 'pd', 'reason_code': 'bib', 'last_check': '2025-05-12'}",TRUE
AH6GGZ,"Friends' review; a religious, literary and miscellaneous journal.",,1847,1894.0,y,"Quaker magazine; interesting passage on ""the Indians and the Government""",1868.0,Philadelphia,,US,,periodical,848.0,1078817.0,eng,PHILOSOPHY. PSYCHOLOGY. RELIGION,0.99827528,,Editors: Sept. 1847- Enoch Lewis.-- Samuel Rhoads.,95.0,100.0,,"{'lccn': array(['14022046'], dtype=object), 'isbn': array([], dtype=object), 'ocolc': array(['(OCoLC)01570236'], dtype=object)}","{'url': 'https://hdl.handle.net/2027/hvd.ah6ggz', 'rights_code': 'pd', 'reason_code': 'bib', 'last_check': '2025-05-12'}",TRUE
32044004347209,"Formal logic : or, The Calculus of inference, necessary and probable","De Morgan, Augustus",1847,,y,famous but maybe useful -- be cautious,1847.0,London,m,UK,1806-1871,mathematician,394.0,256681.0,eng,PHILOSOPHY. PSYCHOLOGY. RELIGION,0.9993544221,,,92.0,98.0,,"{'lccn': array(['10004708'], dtype=object), 'isbn': array([], dtype=object), 'ocolc': array(['(OCoLC)01417641'], dtype=object)}","{'url': 'https://hdl.handle.net/2027/hvd.32044004347209', 'rights_code': 'pd', 'reason_code': 'bib', 'last_check': '2025-05-12'}",TRUE
32044000198366,"A treatise on analytical geometry of tree dimensions, containing the theory of curve surfaces and of curves of double curvature.","Hymers, J.",1848,,y,,1830.0,Cambridge,,,1803-1887,,368.0,155301.0,eng,SCIENCE,0.9996860027,,,89.0,87.0,,"{'lccn': array([], dtype=object), 'isbn': array([], dtype=object), 'ocolc': array(['(OCoLC)05115146'], dtype=object)}","{'url': 'https://hdl.handle.net/2027/hvd.32044000198366', 'rights_code': 'pd', 'reason_code': 'bib', 'last_check': '2025-05-12'}",TRUE
32044081798068,"An essay on priesthood: intended as an answer to the theory of the church, as advanced by Dr. Arnold, &c.","Harris, Henry",1849,,y,Anglican,1849.0,Oxford,m,UK,b. 1818,professor,64.0,21483.0,eng,PHILOSOPHY. PSYCHOLOGY. RELIGION,0.9994491935,,,94.0,99.0,,"{'lccn': array([], dtype=object), 'isbn': array([], dtype=object), 'ocolc': array(['(OCoLC)41478392'], dtype=object)}","{'url': 'https://hdl.handle.net/2027/hvd.32044081798068', 'rights_code': 'pd', 'reason_code': 'bib', 'last_check': '2025-05-12'}",TRUE
32044004387338,"Mirror of olden time border life : embracing a history of the discovery of America, of the landing of our forefathers at Plymouth and their most remarkable engagements with the Indians ... from...1620, until the final subjugation of the natives, in 1679. Also, history of Virginia, embracing its first settlement, the progressive movements of civilization... and a narrative of the ... struggle between the white settlers and Indians in north-western Virginia, Kentucky, &c.. Also, history of the early settlement of Pennsylvania... and the subsequent warfare ; to which are added, personal narratives of captivities and escapes ; together with numerous sketches of frontier men",,1849,1848.0,y,contrast to the Friends' magaine on Native Americans,1848.0,,,,,,762.0,527253.0,eng,HISTORY OF THE AMERICAS,0.998059094,,"Rewritten and much altered from the 1st edition which was issued in 1839, and again in 1841 under title: Incidents of border life..., Principally a compilation from writings of Henry Trumbull, Charles Campbell, A.S. Withers, I.D. Rupp and others., ""Chronicles of border warfare...By A.S. Withers"" : p. 121-314.",95.0,100.0,['32044105246417'],"{'lccn': array(['02023453'], dtype=object), 'isbn': array([], dtype=object), 'ocolc': array(['(OCoLC)05304783'], dtype=object)}","{'url': 'https://hdl.handle.net/2027/hvd.32044004387338', 'rights_code': 'pd', 'reason_code': 'bib', 'last_check': '2025-05-12'}",TRUE
32044001738913,"The history of political parties in the State of New-York, from the ratification of the Federal Constitution to December, 1840, in two volumes","Hammond, Jabez D.",1850,1842.0,y,,1842.0,,,,,,650.0,281104.0,eng,POLITICAL SCIENCE,0.9971991777,,Includes indexes.,94.0,100.0,,"{'lccn': array([], dtype=object), 'isbn': array([], dtype=object), 'ocolc': array(['(OCoLC)03449422'], dtype=object)}","{'url': 'https://hdl.handle.net/2027/hvd.32044001738913', 'rights_code': 'pd', 'reason_code': 'bib', 'last_check': '2025-05-12'}",TRUE
32044018947101,"The unity of the human races proved to be the doctrine of Scripture, reason, and science.","Smyth, Thomas",1850,,y,,1850.0,New York,m,US,,Presbyterian minister,442.0,166167.0,eng,PHILOSOPHY. PSYCHOLOGY. RELIGION,0.997461319,,,94.0,99.0,,"{'lccn': array(['05029793'], dtype=object), 'isbn': array([], dtype=object), 'ocolc': array(['(OCoLC)00675074'], dtype=object)}","{'url': 'https://hdl.handle.net/2027/hvd.32044018947101', 'rights_code': 'pd', 'reason_code': 'bib', 'last_check': '2025-05-12'}",TRUE
32044086864402,"Box and Cox. A romance of real life, in one act. With the stage business, cast of Characters, costumes, relative positions, etc.","Morton, John Maddison",1850,1859.0,y,drama,1848.0,,m,UK,1811-1891,playwright,36.0,18087.0,eng,LANGUAGE AND LITERATURE,0.826947391,Acting editions,Reissue of Douglas's 1848 ed. in the same series.,83.0,95.0,,"{'lccn': array([], dtype=object), 'isbn': array([], dtype=object), 'ocolc': array(['(OCoLC)05019206'], dtype=object)}","{'url': 'https://hdl.handle.net/2027/hvd.32044086864402', 'rights_code': 'pd', 'reason_code': 'bib', 'last_check': '2025-05-12'}",TRUE
HL2QKN,"Decisions, Zillah. Subordinante [and Assistant] Courts, Madras Presidency.",,1851,1857.0,y,colonial law,1853.0,Madras,,Indian,,,490.0,261250.0,eng,LAW,0.999458611,,,89.0,99.0,,"{'lccn': array([], dtype=object), 'isbn': array([], dtype=object), 'ocolc': array(['(OCoLC)234346700'], dtype=object)}","{'url': 'https://hdl.handle.net/2027/hvd.hl2qkn', 'rights_code': 'pd', 'reason_code': 'bib', 'last_check': '2025-05-12'}",TRUE
HN2TTZ,"Lessons in modern farming; or, Agriculture for schools; containing scientific exercises for recitation; and elegant extracts from rural literature, for academic or family reading.","Blake, John Lauris",1851,,y,,1851.0,New York,m,US,1788-1857,clergyman and author,468.0,241020.0,eng,AGRICULTURE,0.9993116856,,Later edition has title: The modern farmer.,95.0,100.0,,"{'lccn': array(['agr10001071'], dtype=object), 'isbn': array([], dtype=object), 'ocolc': array(['(OCoLC)03504240'], dtype=object)}","{'url': 'https://hdl.handle.net/2027/hvd.hn2ttz', 'rights_code': 'pd', 'reason_code': 'bib', 'last_check': '2025-05-12'}",TRUE
32044001244714,"Hagar, a story of to-day.","Cary, Alice",1852,,y,obscure,1852,,,,,,318.0,97071.0,eng,LANGUAGE AND LITERATURE,0.5965958834,,,95.0,99.0,,"{'lccn': array(['49038007'], dtype=object), 'isbn': array([], dtype=object), 'ocolc': array(['(OCoLC)00676877'], dtype=object)}","{'url': 'https://hdl.handle.net/2027/hvd.32044001244714', 'rights_code': 'pd', 'reason_code': 'bib', 'last_check': '2025-05-12'}",TRUE
32044009962168,Love vs. marriage.,"Lazarus, M. Edgworth.",1852,,y,"obscure, about gender and conduct",1852.0,,,,,,358.0,172748.0,eng,PHILOSOPHY. PSYCHOLOGY. RELIGION,0.5370424986,,,96.0,99.0,,"{'lccn': array([], dtype=object), 'isbn': array([], dtype=object), 'ocolc': array(['(OCoLC)17103931'], dtype=object)}","{'url': 'https://hdl.handle.net/2027/hvd.32044009962168', 'rights_code': 'pd', 'reason_code': 'bib', 'last_check': '2025-05-12'}",TRUE
32044025686460,Arthur's ladies' home magazine.,,1852,1898.0,y,domestic magazine,1871.0,Philadelphia,,US,,,730.0,701532.0,eng,TECHNOLOGY,0.5943696499,,,92.0,100.0,,"{'lccn': array([], dtype=object), 'isbn': array([], dtype=object), 'ocolc': array(['(OCoLC)01514338'], dtype=object)}","{'url': 'https://hdl.handle.net/2027/hvd.32044025686460', 'rights_code': 'pd', 'reason_code': 'bib', 'last_check': '2025-05-12'}",TRUE
HNX1MW,"Elements of chemistry, for the use of colleges, academies, and schools ...","Regnault, V.",1853,,y,chemistry,1853,,,,,,692.0,400842.0,eng,SCIENCE,0.9997345805,,,96.0,98.0,['HWSSFL'],"{'lccn': array([], dtype=object), 'isbn': array([], dtype=object), 'ocolc': array(['(OCoLC)08761707'], dtype=object)}","{'url': 'https://hdl.handle.net/2027/hvd.hnx1mw', 'rights_code': 'pd', 'reason_code': 'bib', 'last_check': '2025-05-12'}",TRUE
32044001699644,"Katharine Walton : or, The rebel of Dorchester","Simms, William Gilmore",1854,,y,Southern pro-slavery fiction,1851.0,,,,,,490.0,227323.0,eng,LANGUAGE AND LITERATURE,0.9963706732,,,95.0,100.0,,"{'lccn': array([], dtype=object), 'isbn': array([], dtype=object), 'ocolc': array(['(OCoLC)03298344'], dtype=object)}","{'url': 'https://hdl.handle.net/2027/hvd.32044001699644', 'rights_code': 'pd', 'reason_code': 'bib', 'last_check': '2025-05-12'}",TRUE
HN1C65,"Hot corn: life scenes in New York illustrated. Including the story of little Katy, Madalina, the rag-picker's daughter, wild Maggie, & c. With original designs, engraved by N. Orr.","Robinson, Solon",1854,,y,the underbelly of NYC,1854.0,New York,m,US,1803-1880,writer and journalist,434.0,134556.0,eng,HISTORY OF THE AMERICAS,0.8977840543,,"Added t.-p., engraved., Microfilm. Ann Arbor, Mich., University Microfilms [n.d.] (American culture series, Reel 333.3)",93.0,100.0,,"{'lccn': array([], dtype=object), 'isbn': array([], dtype=object), 'ocolc': array(['(OCoLC)01707186', '(OCoLC)06808857'], dtype=object)}","{'url': 'https://hdl.handle.net/2027/hvd.hn1c65', 'rights_code': 'pd', 'reason_code': 'bib', 'last_check': '2025-05-12'}",TRUE
32044096995543,Mental arithmetic upon the inductive plan : designed for primary and intermediate schools,"Greenleaf, Benjamin",1857,1851.0,y,,1851,,,,,,162.0,71549.0,eng,PHILOSOPHY. PSYCHOLOGY. RELIGION,0.9797699451,,"On cover: Greenleaf's Primary arithmetic., At head of title: Greenleaf's Mental arithmetic.",95.0,84.0,,"{'lccn': array([], dtype=object), 'isbn': array([], dtype=object), 'ocolc': array(['(OCoLC)223127829'], dtype=object)}","{'url': 'https://hdl.handle.net/2027/hvd.32044096995543', 'rights_code': 'pd', 'reason_code': 'bib', 'last_check': '2025-05-12'}",TRUE
32044097026454,"An elementary treatise on astronomy : in two parts : the first containing a clear and compendious view of the theory : the second, a number of practical problems, to which are added solar, lunar, and other astronomical tables","Gummere, John",1857,,y,astronomy,1842.0,Philadelphia,m,US,1784-1845,astronomer,524.0,373143.0,eng,SCIENCE,0.9997071624,,,91.0,91.0,,"{'lccn': array([], dtype=object), 'isbn': array([], dtype=object), 'ocolc': array(['(OCoLC)09598067'], dtype=object)}","{'url': 'https://hdl.handle.net/2027/hvd.32044097026454', 'rights_code': 'pd', 'reason_code': 'bib', 'last_check': '2025-05-12'}",TRUE
