barcode_src,title_src,author_src,firstpub,reason,pubplace,authgender,authnationality,authordates,author_profession,page_count_src,token_count_o200k_base_gen,genre,abstention_question_count,character_modeling_question_count,constrained_generation_question_count,inference_question_count,knowledge_question_count,phrase_cloze_question_count,sentence_cloze_question_count,topic_sentence_question_count,unknown_question_count,total_question_count
32044004358602,"Biographical sketches and interesting anecdotes of persons of color. To which is added, a selection of pieces in poetry.","Mott, Abigail",1837.0,"abolitionist biographies, contrast to Alison Carmichael",New York,f,US,1795-1846,Quaker abolitionist,268.0,116990.0,,0,0,1,0,0,0,0,0,0,1
32044103077657,Journal of the Statistical Society of London.,Statistical Society (Great Britain),1860.0,economics,,,UK,,,618.0,436573.0,,0,0,1,0,0,0,0,1,0,2
HNEA1C,"Incidents of travel in Egypt, Arabia Petraea, and the Holy Land","Stephens, John L.",1836.0,early travel,New York,m,US,1805-1852,explorer,272.0,109385.0,travel narrative,0,0,0,0,0,0,2,0,0,2
32044024304883,"Intermarriage, or, The mode in which, and the causes why, beauty, health, and intellect, result from certain unions, and deformity, disease, and insanity, from others ...","Walker, Alexander",1839.0,early eugenics,New York,m,Scottish,1779-1852,physiologist,438.0,146698.0,treatise on heredity,0,0,0,0,0,0,3,2,0,5
32044103088191,Medical times.,,1845.0,medicine,,,UK,,,746.0,2233566.0,,0,0,4,0,0,0,0,0,0,4
32044011468659,"Fluctuations of currency, commerce, and manufactures : referable to the corn laws","Wilson, James",1840.0,corn laws,London,m,UK,,businessman,168.0,55046.0,economic treatise,0,0,1,0,0,0,3,0,0,4
32044018958868,"On the errors of chronometers, and chronometrical-thermometers; explanation of a new construction of the compensation balance; and a new chronometrical-thermometer of ...","Dent, Edward John",1843.0,engineering / technology,London,m,UK,,watchmaker,32.0,9327.0,proposal for new mechanical contrivances,0,0,0,0,0,0,1,0,0,1
32044021026273,"An Historical, statistical, and scientific account of the railways of Belgium from 1834 to 1842","Dobson, Edward",1843.0,railroads matter,London,m,UK,1816-1908,eningeer,142.0,43144.0,,0,0,0,0,0,0,0,1,0,1
AH6K8I,The Ladies' repository.,,1857.0,"Universalist periodical, edited by Mrs E A Bacon",,f,,,,540.0,612418.0,,0,0,1,0,0,0,0,0,0,1
HNJ9I8,A dissertation on the varieties of mankind : being an address read before the Cuvierian and Physiological societies of Wesleyan University,"Bond, Thos. E.",1843.0,pairs nicely with Thomas Smyth,"Middletown, Conn",m,US,1813-1872,Christian editor,52.0,13228.0,,0,0,1,0,0,0,0,0,0,1
32044009690504,The mothers of England : their influence and responsibility,"Ellis, Mrs (Sarah Stickney)",1844.0,"about gender and conduct -- author is far from obscure, but worth having nevertheless",,f,UK,1799-1872,author,636.0,566672.0,,0,0,1,0,0,0,0,2,0,3
32044004472007,"Water-cure for ladies : a popular work on the health, diet, and regimen of females and children, and the prevention and cure of diseases : with a full account of the processes of water-cure, illustrated with various cases","Shew, Marie Louise.",1844.0,text on health by a woman,New York,f,US,1821-1877,writer,260.0,80673.0,,0,0,1,0,0,0,0,0,0,1
32044014249122,To the people of the United States.,"Whitney, Asa",1845.0,railroad promotion -- contrast to Dobson,US,m,US,,dry-goods merchant and railroad promoter,20.0,7851.0,,0,0,0,0,0,0,0,1,0,1
32044080687452,"A cyclopaedia of practical receipts, and collateral information in the arts, manufacutres, and trades, including medicine, pharmacy, and domestic economy.","Cooley, Arnold James.",1845.0,encyclopedia of chemistry and pharmacology,London,,UK,,chemist,,,,0,0,2,0,1,0,0,0,0,3
HNXBH1,The philosophy of mystery.,"Dendy, Walter Cooper",1841.0,on dreams! in dialogue form,London,m,UK,1794-1871,English surgeon and writer,464.0,195646.0,,0,0,2,0,0,0,0,0,0,2
32044004347126,Love and duty. A novel.,"Marsh-Caldwell, Anne",1845.0,fiction,Philadelphia,f,UK,1791-1874,,680.0,878128.0,novel,0,5,1,0,0,0,0,0,0,6
32044019034701,Poems,"Story, William Wetmore",1847.0,poetry,Boston,m,US,,sculptor and poet,316.0,38650.0,,0,0,0,0,0,0,0,0,0,0
32044074335506,The Daguerreotype.,,1847.0,periodical -- not really about photography,Boston,,"US, but compiled from European sources",,,588.0,720057.0,,0,0,0,0,0,0,0,0,0,0
32044082182031,"McCulloch's universal gazetteer : a dictionary, geographical, statistical, and historical, of the various countries, places, and principal natural objects in the world","McCulloch, J. R.",1847.0,gazetteer,New York,m,Scottish,1789-1864,economist,1176.0,3074378.0,,1,0,0,0,4,0,0,0,0,5
AH6GGZ,"Friends' review; a religious, literary and miscellaneous journal.",,1868.0,"Quaker magazine; interesting passage on ""the Indians and the Government""",Philadelphia,,US,,periodical,848.0,1078817.0,,0,0,3,0,0,0,0,0,0,3
32044004347209,"Formal logic : or, The Calculus of inference, necessary and probable","De Morgan, Augustus",1847.0,famous but maybe useful -- be cautious,London,m,UK,1806-1871,mathematician,394.0,256681.0,,0,0,0,0,0,0,0,0,0,0
32044000198366,"A treatise on analytical geometry of tree dimensions, containing the theory of curve surfaces and of curves of double curvature.","Hymers, J.",1830.0,,Cambridge,,,1803-1887,,368.0,155301.0,,0,0,0,0,0,0,0,0,0,0
32044081798068,"An essay on priesthood: intended as an answer to the theory of the church, as advanced by Dr. Arnold, &c.","Harris, Henry",1849.0,Anglican,Oxford,m,UK,b. 1818,professor,64.0,21483.0,,0,0,1,0,0,0,0,0,0,1
32044004387338,"Mirror of olden time border life : embracing a history of the discovery of America, of the landing of our forefathers at Plymouth and their most remarkable engagements with the Indians ... from...1620, until the final subjugation of the natives, in 1679. Also, history of Virginia, embracing its first settlement, the progressive movements of civilization... and a narrative of the ... struggle between the white settlers and Indians in north-western Virginia, Kentucky, &c.. Also, history of the early settlement of Pennsylvania... and the subsequent warfare ; to which are added, personal narratives of captivities and escapes ; together with numerous sketches of frontier men",,1848.0,contrast to the Friends' magaine on Native Americans,,,,,writer,762.0,527253.0,,0,0,0,0,0,0,0,2,0,2
32044001738913,"The history of political parties in the State of New-York, from the ratification of the Federal Constitution to December, 1840, in two volumes","Hammond, Jabez D.",1842.0,,,,,,"physician, lawyer, and politician",650.0,281104.0,history,0,0,0,0,0,0,3,0,0,3
32044018947101,"The unity of the human races proved to be the doctrine of Scripture, reason, and science.","Smyth, Thomas",1850.0,,New York,m,US,,Presbyterian minister,442.0,166167.0,,0,0,0,0,0,0,0,2,0,2
32044086864402,"Box and Cox. A romance of real life, in one act. With the stage business, cast of Characters, costumes, relative positions, etc.","Morton, John Maddison",1848.0,drama,,m,UK,1811-1891,playwright,36.0,18087.0,,0,0,1,0,0,0,0,0,0,1
HL2QKN,"Decisions, Zillah. Subordinante [and Assistant] Courts, Madras Presidency.",,1853.0,colonial law,Madras,,Indian,,,490.0,261250.0,records of appelate judgments,0,0,1,0,0,0,1,0,0,2
HN2TTZ,"Lessons in modern farming; or, Agriculture for schools; containing scientific exercises for recitation; and elegant extracts from rural literature, for academic or family reading.","Blake, John Lauris",1851.0,,New York,m,US,1788-1857,clergyman and author,468.0,241020.0,,0,0,2,0,0,0,0,0,0,2
32044001244714,"Hagar, a story of to-day.","Cary, Alice",1852.0,obscure,,,,,,318.0,97071.0,novel,0,3,0,0,0,0,0,0,0,3
32044009962168,Love vs. marriage.,"Lazarus, M. Edgworth.",1852.0,"obscure, about gender and conduct",,,,,doctor of homeopathy and Fourierist,358.0,172748.0,,0,0,1,0,0,0,0,0,0,1
32044025686460,Arthur's ladies' home magazine.,,1871.0,domestic magazine,Philadelphia,,US,,,730.0,701532.0,,0,0,1,0,0,0,0,0,0,1
HNX1MW,"Elements of chemistry, for the use of colleges, academies, and schools ...","Regnault, V.",1853.0,chemistry,,,,,chemist,692.0,400842.0,textbook,0,0,0,0,0,0,3,0,0,3
32044001699644,"Katharine Walton : or, The rebel of Dorchester","Simms, William Gilmore",1851.0,Southern pro-slavery fiction,,,,,,490.0,227323.0,novel,0,4,0,0,0,0,0,0,0,4
HN1C65,"Hot corn: life scenes in New York illustrated. Including the story of little Katy, Madalina, the rag-picker's daughter, wild Maggie, & c. With original designs, engraved by N. Orr.","Robinson, Solon",1854.0,the underbelly of NYC,New York,m,US,1803-1880,writer and journalist,434.0,134556.0,book of fictional sketches detailing the misadventures of low-life characters,0,0,0,0,0,0,1,0,0,1
32044096995543,Mental arithmetic upon the inductive plan : designed for primary and intermediate schools,"Greenleaf, Benjamin",1851.0,,,,,,,162.0,71549.0,,0,0,0,0,0,0,0,0,0,0
32044097026454,"An elementary treatise on astronomy : in two parts : the first containing a clear and compendious view of the theory : the second, a number of practical problems, to which are added solar, lunar, and other astronomical tables","Gummere, John",1842.0,astronomy,Philadelphia,m,US,1784-1845,astronomer,524.0,373143.0,,0,0,0,0,0,0,0,0,0,0
32044021076013,"Southern institutes; or, An inquiry into the origin and early prevalence of slavery and the slave-trade: with an analysis of the laws, history, and government of the institution in the principal nations, ancient and modern, from the earliest ages down to the present time. With notes and comments in defence of the southern institutions.","Sawyer, George S.",1858.0,slavery,Philadelphia,m,US,,lawyer from Louisiana,408.0,251076.0,,0,0,1,0,0,0,0,0,0,1
32044004446480,Anadol; the last home of the faithful.,"Skene, James Henry.",1853.0,description of Turkey,London,m,Scottish,1812-1886,British consul in Aleppo,374.0,116217.0,,0,0,1,0,0,0,0,0,0,1
32044077890390,Regeneration,"Sears, Edmund H.",1859.0,questions about original sin,Boston,m,US,1810-1876,Unitarian clergyman,264.0,85136.0,,0,0,1,0,0,0,0,1,0,2
32044103125258,Siluria. A history of the oldest fossiliferous rocks and their foundations; with a brief sketch of the distribution of gold over the earth.,"Murchison, Roderick Impey",1852.0,geology,London,m,Scottish,1792-1871,geologist,746.0,471949.0,geological treatise,0,0,1,0,0,0,3,0,0,4
32044000196873,"Elements of algebra : on the basis of M. Bourdon, embracing Sturm's and Horner's theorems : and practical examples","Davies, Charles",1853.0,,,,,,mathematician,412.0,174298.0,,0,0,0,3,0,0,0,0,0,3
32044015470446,"The spirit proper to the times : a sermon preached in King's Chapel, Boston, Sunday, May 12, 1861","Walker, James",1861.0,Unitarian sermon,Boston,m,US,,Unitarian clergyman,20.0,4179.0,,0,0,0,0,0,0,0,0,0,0
32044080707920,"Notes on sea-coast defence: consisting of sea-coast fortification, the fifteen-inch gun, and casemate embrasures.","Barnard, J. G.",1861.0,fortification,New York,m,US,1815-1882,military engineer,132.0,31690.0,,0,0,2,0,0,0,0,0,0,2
32044081252165,Llandudno: its history and natural history;,"Parry, R.",1861.0,Welsh description,Llandudno,m,Welsh,1803-1897,minister,244.0,94984.0,natural history,0,0,0,0,0,0,3,0,0,3
32044001749415,Rue Erring. A poem.,"Clark, E. H. G.",1862.0,obscure poem,,,,,,90.0,24717.0,,0,0,0,0,0,0,0,0,0,0
32044058173782,"Notes on Ceylon and its affairs : during a period of thirty-eight years, ending in 1855, to which are appended some observations on the antiquity of Point de Galle, and on the pearl fishery","Steuart, James",1862.0,colonial,London,m,UK,1790-1870,merchant and colonial administrator,222.0,85008.0,,0,0,0,0,0,0,0,2,0,2
32044107324451,"Old bones; or, Notes for young naturalists, on vertbebrate animals, their fossil predecessors and allies.","Symonds, W. S.",1864.0,skeptical of evolution,London,m,UK,1818-1887,cleric and geologist,224.0,95675.0,,0,0,0,0,0,0,0,0,0,0
32044097024160,Comparative geography,"Ritter, Carl",1865.0,,,,,,,232.0,95852.0,,0,0,0,0,0,0,0,0,0,0
32044105216501,Catholic world.,,1918.0,Catholic perspective,New York,,US,,,1046.0,565532.0,,0,0,1,0,0,0,0,0,0,1
32044107272536,Our American Sylva.,"Janes, Isabella.",1865.0,botany; scientific and economic writing by a woman,Philadelphia,f,US,1819-1901,writer and abolitionist,178.0,84602.0,botanical study,0,0,0,0,0,0,3,0,0,3
32044021677042,"Way down East; or, Portraitures of Yankee life.","Smith, Seba",1854.0,local humor,Philadelphia,m,US,1792-1868,humorist,404.0,114381.0,collection of humorous sketches,0,0,1,0,0,0,3,0,0,4
AH5AZI,"Ecce cÃâlum; or, Parish astronomy. In six lectures.","Burr, E. F.",1867.0,lyrical Christian astronomy; contrast Gummere,Boston,m,US,1818-1907,pastor from Connecticut,230.0,69890.0,,0,0,1,0,0,0,0,0,0,1
HWRRT6,The history of the Navy during the rebellion,"Boynton, Charles Brandon",1868.0,military history,New York,m,US,1806-1883,chaplain of the US Congress,662.0,322153.0,,0,0,0,0,0,0,0,0,0,0
32044011466620,The seven curses of London,"Greenwood, James.",1869.0,obscure fiction,,,,,,382.0,180400.0,novel,0,1,1,0,0,0,0,0,0,2
32044013670609,"Juliette; or, Now and forever.","Leslie, Madeline (Harriette Newell Woods Baker)",1866.0,obscure enough,US,f,US,,novelist and writer of books for children,430.0,138319.0,novel,0,2,0,0,0,0,0,0,0,2
32044024353302,The reign of law,"Argyll, George Douglas Campbell",1867.0,evolution,London,m,Scottish,1823-1900,polymath and liberal statesman,564.0,176437.0,,0,0,0,0,0,0,0,0,0,0
HN63IW,Black's guide to Dorsetshire.,Adam and Charles Black (Firm),1872.0,travel guide,Edinburgh,,UK,,,192.0,94541.0,,0,0,1,0,0,0,0,0,0,1
HNAJHT,Ethel Mildmay's follies : a story,"King, Katharine.",1872.0,fiction,Boston,f,US,b. 1844,novelist,192.0,220299.0,,0,0,0,0,0,0,0,0,0,0
32044024324212,Caliban : the missing link,"Wilson, Daniel",1873.0,Shakespeare and evolution!,London,m,Canadian,1816-1892,archaeologist,356.0,145643.0,,0,0,1,0,0,0,0,0,0,1
32044080897416,"Bella, or, The cradle of liberty : a story of insane asylums","Berry, Martha E.",1874.0,fiction,Boston,f,US,,novelist,364.0,144189.0,,0,3,0,0,0,0,0,0,0,3
HN1L7Z,"Wild berry wine,","Cannan, Joanna",1925.0,quite obscure fiction,New York,f,US,b. 1898,novelist,332.0,123737.0,novel,0,2,0,0,0,0,0,0,0,2
HN2VGI,Electrical circuits and machinery,"Morecroft, John H.",1925.0,,,,,,engineering professor,488.0,241289.0,textbook,0,0,0,1,1,0,2,0,0,4
32044019281872,"Eve walks in her garden,","Garnett, Louise Ayres.",1926.0,"medium-obscure, but published in Poetry Magazine",New York,f,US,1877-1937,poet and playwright,144.0,13317.0,,0,0,1,0,0,0,0,0,0,1
32044032245516,"The Court Psychologist,","Goldsmith, Ethel F.",1925.0,questions idea of abnormal psychology,New York,f,US,,psychologist,12.0,3634.0,reflection on psychology,0,0,0,0,0,0,1,0,0,1
32044080532138,Into the heart of Colombia by hydroplane.,"Penfield, Walter Scott",1926.0,cool,,,,,expert on Latin American affairs,16.0,4925.0,travel narrative,0,0,0,0,0,0,0,0,0,0
HN3JKA,"A guide for freshman college English, with freshman themes,","Stanley, Carrie Ellen.",1926.0,has examples of topic sentences!,New York,f,US,1886-1962,English professor,222.0,65079.0,,0,0,0,0,0,0,0,1,0,1
HNSXFL,"Protestantism's contribution to character building in a democracy; an address delivered at the Quadrennial Convention of the International Council of Religious Education, at Birmingham, Alabama, April 13, 1926.","Athearn, Walter S.",1926.0,Dewey + Protestantism: argues against Catholic parochial schools,,,,1872-1934,professor of religious education,24.0,5581.0,,0,0,1,0,0,0,0,0,0,1
32044058179482,"Psychology of character,","Allport, Gordon W.",1927.0,he's famous but this book is not; it's actually a review of a book by A. A. Roback,Boston,m,US,1897-1967,psychologist,20.0,3931.0,,0,0,0,0,0,0,0,0,0,0
32044070803416,Report of the Committee on the International code of signals ...,International radiotelegraph conference,1927.0,radio standards,"Washington, DC",,,,,32.0,10724.0,,0,0,0,0,0,0,0,1,0,1
HN1SJM,"The coasts of adventure, an adventure story.","Graham, James",1927.0,fiction; very obscure,,,,,,254.0,95177.0,adventure story,0,10,0,0,0,0,0,0,0,10
HN3KRP,"Exercises in thinking and expressing for use in day schools, evening schools, adult classes, etc.","Marriott, J. W.",1927.0,,,,,,teacher,176.0,53029.0,,0,0,0,0,0,0,0,1,0,1
32044032080806,The peril of narcotic drugs.,"Hobson, Richmond Pearson",1928.0,drugs,"Washington, DC",m,US,1870-1937,naval officer and proponent of Prohibition,20.0,11750.0,,0,0,0,0,0,0,0,0,0,0
32044055060859,What are you going to do? A brief survey of some of the vocations open to college women.,Radcliffe College.,1928.0,professions for women,Boston,,US,,,20.0,9068.0,,0,0,1,0,0,0,0,0,0,1
32044080919772,"Frank Norris, or, Up from culture,","Dobie, Charles Caldwell",1928.0,obscure fiction,,,,1881-1943,,18.0,13465.0,,0,0,0,0,0,0,0,0,0,0
32044088679782,The destiny of East Africa.,"Buell, Raymond Leslie",1928.0,critique of imperialism,New York,m,US,1896-1946,scholar of foreign policy,28.0,10384.0,critique of imperialism,0,0,0,0,0,0,2,0,0,2
HN1UN3,"The corpse on the bridge,","Barry, Charles",1928.0,"not completely obscure, but second rank",New York,m,UK,b. 1877,,286.0,100905.0,detective novel,0,4,0,0,0,0,0,0,0,4
HN1K7P,The thought arouser,"Van Amburgh, Fred De Witt, 1866-",1929.0,apothegms,New York,m,US,b. 1866,editor,368.0,84730.0,,0,0,3,0,0,0,0,0,0,3
HN33JT,Training for social expression,"Seman, Philip L.",1929.0,reflections on education from a Jewish perspective,Chicago,m,US,1881-1957,educator and social worker,174.0,101298.0,,0,0,0,0,0,0,0,1,0,1
32044001062884,"The story of Deerfield,","Fuller, Mary Williams.",1930.0,,,f,US,,,76.0,12731.0,,0,0,0,0,0,0,0,0,0,0
HN316P,"Progressive indexing and filing for schools : a text arranged for courses of various lengths covering the fundamentals of indexing and filing, with detailed instruction for classroom practice work.",Library Bureau.,1928.0,useful exam questions,Buffalo,,US,,,136.0,84609.0,,0,0,0,0,2,0,0,0,0,2
HNJ7GF,Theories of social progress; a critical study of the attempts to formulate the conditions of human advance.,"Todd, Arthur James",1930.0,interesting; author not famous,New York,m,US,1878-1948,sociologist,600.0,245967.0,history of social theory,0,0,0,0,0,0,3,0,0,3
32044087388245,Girls and Women,"Paine, Harriet Eliza",1890.0,conduct book,US,f,US,1845-1910,writer,,,practical guide to conduct,0,0,0,0,0,4,3,0,0,7
32044005533252,Women's work,"Bulley, A. Amy",1894.0,changes in gender roles,London,f,UK,unknown,,240.0,94857.0,,0,0,2,0,1,2,0,0,0,5
hn1imp,"Narcotic drug addiction, the modern scourge,","Hinckley, Livingston Spraker",1918.0,,US,m,US,-1855,doctor,48.0,9308.0,short medical treatise,0,0,0,0,0,3,0,0,0,3
32044103069654,Journal of the American Chemical Society.,American Chemical Society.,1918.0,,US,u,US,-1864,,1032.0,707538.0,,0,0,1,0,0,5,3,0,0,9
32044097027296,The school garden book,"Weed, Clarence Moores",1909.0,not actually written for kids,US,m,US,,naturalist,360.0,100572.0,educational guide,0,0,0,0,0,3,3,0,0,6
hn6gxm,"Powers, duties and work of game wardens : a handbook of practical information for officers and others interested in the enforcement of fish and game laws","Chase, Harry.",1910.0,,US,m,US,,writer,152.0,43018.0,handbook,0,0,0,0,0,5,2,0,0,7
hxqc3g,"In the wilderness, with a biographical sketch.","Warner, Charles Dudley",1878.0,biographical sketches,US,m,US,1829-1900,essayist,148.0,58778.0,book of travel and natural description,0,0,0,0,0,5,2,0,0,7
hwwjnq,Argentina.,"Hirst, W. A.",1910.0,social description,US,m,US,1870-1948,writer,460.0,148623.0,work of history and social description,0,0,0,0,0,5,2,0,0,7
32044058307810,The construction of chemical laboratories,"Chandler, William Henry",1893.0,"based on information from the exposition of 1889, but not pub in this form until 1893",US,m,US,1841-1906,chemist,260.0,28814.0,book,0,0,0,0,0,3,2,0,0,5
hxdnai,The poet's poet and other essays.,"Quayle, William A.",1897.0,,US,m,US,1860-1925,bishop of the Methodist church,360.0,102598.0,book of essays,0,0,0,0,0,4,3,0,0,7
32044073486045,The temple of Solomon : a review of the various theories respecting its form and style of architecture : The ethics of art : two lectures,"Robins, Edward Cookworthy.",1887.0,read in 1886 but not a prob,UK,m,UK (England),1831-1918,architect and author,134.0,55127.0,collection of lectures about art,0,0,0,0,0,5,2,0,0,7
32044086783313,"Robert Burns, an address delivered in Tremont Temple","Hoar, George Frisbie",1901.0,,US,m,US,1826-1904,attorney and politician,32.0,7820.0,,0,0,0,0,0,2,1,0,0,3
hw1vlh,Beneath blue skies and gray : poems,"Crockett, Ingram",1898.0,,US,m,US,1856-1936,poet and journalist,120.0,18177.0,,0,0,3,1,0,0,0,0,0,4
hnnwy1,The Barrys,"Bullock, Shan F.",1898.0,,UK,m,"UK (Irish writer, pub London)",1865-1935,writer,438.0,163936.0,novel,0,17,0,0,0,2,3,0,0,22
32044038429635,"Counsels by the way,","Van Dyke, Henry",1897.0,"collection of essays prev pub 1897, 1900, 1903",US,m,US,1852-1933,diplomat and Presbyterian clergyman,176.0,37856.0,book of essays,0,0,0,0,0,5,3,0,0,8
32044106370034,Some American medical botanists,"Kelly, Howard A.",1911.0,,US,m,US,1858-1943,naturalist and physician,32.0,11374.0,work of biography,0,0,0,0,0,3,1,0,0,4
hnqe3f,Cases on constitutional law,,1897.0,,US,m,US,1845-1933,law professor,334.0,365072.0,,0,0,0,0,0,2,3,0,0,5
hxdi7y,"The spy of Yorktown; a story of Arnold and Washington in the last year of the war ofindependence,","Stoddard, William Osborn",1903.0,,US,m,US,1835-1925,,264.0,72950.0,historical novel,0,4,0,0,0,0,0,0,0,4
32044011551280,Thucydides Mythistoricus,"Cornford, Francis Macdonald",1907.0,,UK,m,UK (England),1874-1943,classical scholar,298.0,154615.0,,0,0,0,0,0,3,2,0,0,5
hx2nlf,"Federal government and the states; address delivered at Norfolk, Va., on June 29, 1907, at the celebration of the adoption of the first Virginia constitution,","Storey, Moorfield",1907.0,,US,m,US,1845-1929,lawyer and civil rights activist,154.0,56001.0,public address,0,0,0,0,0,5,3,0,0,8
hn1nuj,The Chautauqua girls at home,Pansy,1873.0,Pansy = Isabella Macdonald Alden,US,f,US,1841-1930,,496.0,128873.0,story for children,0,10,0,0,0,0,0,0,0,10
32044087970612,"A brief history of Europe from 1789-1815,","Holt, Lucius Hudson",1919.0,"coauthored with Chilton, Alexander Wheeler",US,m,US,"1881 - , 1886 -",literary scholar,450.0,186485.0,,0,0,1,0,0,0,0,3,0,4
32044103073128,Journal of nervous and mental disease.,,1916.0,,US,m,US,,,616.0,397206.0,,0,0,0,0,0,0,0,2,0,2
hx524h,"Charles E. Bolton; a memorial sketch,","Bolton, Sarah Knowles",1907.0,"not a famous person, but a typical life",US,f,US,1841-1901,writer and temperance activist,152.0,31578.0,,0,0,0,0,0,1,2,0,0,3
32044019616119,"Aztlan : the history, resources, and attractions of New Mexico","Ritch, W. G.",1885.0,,US,m,US,1830-1904,publisher and government official,276.0,153954.0,,0,0,0,0,0,2,2,0,0,4
hnuyze,The theosophical forum.,,1903.0,,US,u,US,,,246.0,115748.0,,0,0,3,0,0,0,0,0,0,3
32044102772175,"Composition, rhetoric, literature : a four year's course for secondary schools","Shackford, Martha Hale",1913.0,"super useful, needs manual attention?",US,f,US,1875-1960,literary scholar,662.0,228139.0,,0,0,4,2,0,0,0,4,0,10
32044082646845,A vendetta of the desert,"Scully, W. C.",1898.0,,US,m,South Africa,1855-1943,,264.0,100258.0,,0,8,0,0,0,0,0,0,0,8
32044102796562,Catholic educational review.,,1911.0,,US,u,US,,,506.0,212118.0,serial,0,0,0,0,0,5,3,0,0,8
32044112467667,Treaty of peace.,Allied and Associated Powers (1914-1920).,1920.0,"weird performative document, but",UK,u,multiple,,author,130.0,89543.0,,0,0,0,0,0,2,2,0,0,4
hwysul,Minnesota state health laws and regulations ...,Minnesota.,1924.0,"performative, but",US,u,US,,state,118.0,65755.0,,0,0,0,0,0,2,2,0,0,4
hwh178,Acts of the privy council of England.,Great Britain.,1897.0,,UK,u,UK,,,532.0,299845.0,,0,0,0,0,0,0,0,0,0,0
32044097049241,School civics : an outline study of the origin and development of government and the development of political institutions in the United States,"Boynton, Frank David",1904.0,,US,m,US,1863-1930,,532.0,208746.0,,0,0,0,0,0,2,1,2,0,5
32044011227808,"The cellar-house of Pervyse : a tale of uncommon things, from the journals and letters of the Baroness T'Serclaes and Mairi Chisholm.",,1917.0,"multiple authors, all women",UK,f,UK,,biographer and novelist,326.0,84445.0,,0,0,0,0,0,1,2,0,0,3
32044081227969,Notes on Shotwick in the county of Chester,"Beazley, F. C.",1915.0,,UK,m,UK,-1856,author,258.0,108478.0,,0,0,0,0,0,0,2,0,0,2
ah44ng,"The development of doctrine in the Epistles,","Henderson, Charles Richmond",1896.0,,US,m,US,1848-1914,minister and professor,136.0,56298.0,,0,0,0,0,0,0,3,1,0,4
hn1ls2,"The system of calculating diameter, circumference, area, and squaring the circle : together with interest and miscellaneous tables, and other information","Morton, James.",1881.0,,US,m,US,,mathematician,240.0,109657.0,,0,0,1,0,0,1,1,0,0,3
32044061875233,Guide to the study of political economy.,"Cossa, Luigi",1880.0,"although translated, seems naturalized, and we have no other pol econ",UK,m,Italian,1831-1896,economist,306.0,124225.0,,0,0,0,0,0,0,0,1,0,1
32044097002158,Robinson's new rudiments of arithmetic,"Robinson, Horatio N.",1866.0,"predates period, but very nice exercises",US,m,US,1806-1867,mathematician,236.0,93789.0,,0,0,0,18,0,0,0,0,0,18
